,model,fp_types,seed,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_epoch,r2_score,pearson_r2,rmse,mse,mae,mape
53,FCNN,EstateFP,8,0.986157989,2.243517555,1.468693273,0.950658039,0.787211726,0.92624794,1413,0.911535337,0.92624794,1.468693273,2.157059931,0.900281919,0.1559387
54,FCNN,EstateFP,16,1.253185942,1.182974372,1.277405188,0.926277629,0.909723424,0.901827288,5759,0.899445567,0.901827288,1.277405188,1.631764015,0.650548886,0.138715823
55,FCNN,EstateFP,32,1.063736537,1.831511264,2.027609996,0.941910598,0.83080035,0.879612731,5977,0.8658154,0.879612731,2.027609996,4.111202298,1.115695108,0.223157976
56,FCNN,EstateFP,64,1.155177763,1.338405429,1.77622739,0.936011821,0.909251651,0.840567656,5750,0.837944375,0.840567656,1.77622739,3.154983741,0.981100105,0.226523192
57,FCNN,EstateFP,128,0.990986606,1.252541924,2.400986639,0.954820336,0.910661371,0.694093366,1057,0.663935162,0.694093366,2.400986639,5.76473684,1.006276993,0.149449177
58,FCNN,EstateFP,256,1.154408065,1.426033432,1.48499416,0.936202482,0.900080293,0.902349988,1248,0.886154791,0.902349988,1.48499416,2.205207656,0.96125703,0.296684159
59,FCNN,EstateFP,512,1.223720196,1.916337411,1.360538834,0.929231291,0.763330334,0.920771923,1223,0.916170959,0.920771923,1.360538834,1.851065919,0.961224538,0.163164882
average,,,,,,,,,,,0.869241125,0.880949087,1.567137945,2.600218364,0.896185621,0.177508337
st.p,,,,,,,,,,,0.073913281,0.067895541,0.379864483,1.326802064,0.14230678,0.05574258
,,,,,,,,,,,,,,,,
60,FCNN,MACCSFP,1,0.623563268,2.163053943,1.629782604,0.980999024,0.804729309,0.867846095,547,0.863561885,0.867846095,1.629782604,2.656191337,0.945858893,0.176963798
61,FCNN,MACCSFP,2,0.65526794,1.30539378,1.548911679,0.97965155,0.904569683,0.879858537,2660,0.87705827,0.879858537,1.548911679,2.39912739,0.892074116,0.134544233
62,FCNN,MACCSFP,4,0.642691952,1.651198438,1.692935053,0.980413908,0.883712679,0.827828024,1216,0.812532998,0.827828024,1.692935053,2.866029093,1.074998504,0.166527222
63,FCNN,MACCSFP,8,0.583417316,1.954115838,1.505754952,0.982875308,0.839742067,0.916607492,487,0.907014289,0.916607492,1.505754952,2.267297976,1.021549219,0.324557084
64,FCNN,MACCSFP,16,0.659184223,1.079131249,0.771610371,0.979608686,0.925196382,0.965336699,1401,0.963310653,0.965336699,0.771610371,0.595382564,0.575681877,0.142869576
65,FCNN,MACCSFP,32,0.572160076,1.663225186,1.950918708,0.983188467,0.859589471,0.883707956,1966,0.875774093,0.883707956,1.950918708,3.806083806,0.948229224,0.105746608
66,FCNN,MACCSFP,64,0.63767658,1.445380931,1.884118145,0.980504956,0.903849431,0.822928803,2304,0.817659455,0.822928803,1.884118145,3.549901184,0.969113846,0.143294645
67,FCNN,MACCSFP,128,0.635326395,1.332795716,2.037096344,0.981471714,0.894863592,0.787962073,1702,0.758082811,0.787962073,2.037096344,4.149761515,0.921810759,0.140523058
68,FCNN,MACCSFP,256,0.621399152,1.68097653,1.522977218,0.981765333,0.851915589,0.887799547,1282,0.880256463,0.887799547,1.522977218,2.319459607,0.794870365,0.258405787
69,FCNN,MACCSFP,512,0.600827108,1.660107924,1.217413048,0.982942168,0.864331249,0.93570437,956,0.93288053,0.93570437,1.217413048,1.482094531,0.803351388,0.13588871
average,,,,,,,,,,,0.868813145,0.87755796,1.576151812,2.6091329,0.894753819,0.172932072
st.p,,,,,,,,,,,0.057283558,0.051320695,0.353381331,1.016353928,0.134329168,0.063675251
,,,,,,,,,,,,,,,,
70,FCNN,PharmacoErGFP,1,0.344239938,3.062318995,2.352433222,0.994209249,0.629987652,0.725789898,5727,0.715743135,0.725789898,2.352433222,5.533942062,1.357051953,0.248885531
71,FCNN,PharmacoErGFP,2,0.342690421,2.016450157,2.114795583,0.994431029,0.758673926,0.776532892,378,0.770816789,0.776532892,2.114795583,4.472360359,1.42990086,0.343728568
