,model,fp_types,seed,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_epoch,r2_score,pearson_r2,rmse,mse,mae,mape
96,FCNN,PubChemFP_CC,64,0.481547776,1.279536119,1.117160798,0.988918021,0.916162895,0.937221837,390,0.935894047,0.937221837,1.117160798,1.24804825,0.664152316,0.123359406
97,FCNN,PubChemFP_CC,128,0.510801944,1.040302923,1.10140983,0.988424947,0.942651666,0.931917026,964,0.929280125,0.931917026,1.10140983,1.213103614,0.711013226,0.151833684
98,FCNN,PubChemFP_CC,256,0.563896708,1.156341124,0.696347791,0.984860754,0.93510747,0.980865953,5954,0.974966725,0.980865953,0.696347791,0.484900247,0.484206578,0.14402058
99,FCNN,PubChemFP_CC,512,0.497886829,1.014678936,1.055643066,0.98829121,0.935214555,0.951353759,432,0.949533079,0.951353759,1.055643066,1.114382283,0.68632263,0.096589796
100,FCNN,MHFP6_CC,1,0.339190315,1.06423102,0.954996082,0.994377533,0.95241128,0.954229642,4535,0.953153243,0.954229642,0.954996082,0.912017516,0.613006371,0.104829842
101,FCNN,MHFP6_CC,2,0.738674756,1.06548216,0.97353808,0.995587134,0.945963041,0.951735497,5174,0.951431812,0.951735497,0.97353808,0.947776393,0.615064457,0.085535919
102,FCNN,MHFP6_CC,4,0.336372711,1.384894842,0.938961784,0.994635121,0.918864982,0.94814333,145,0.942331312,0.94814333,0.938961784,0.881649231,0.67127761,0.109439131
103,FCNN,MHFP6_CC,8,0.354328652,0.968317096,1.247140197,0.993630222,0.966573268,0.942600798,1998,0.936212119,0.942600798,1.247140197,1.555358672,0.672505967,0.123809306
104,FCNN,MHFP6_CC,16,0.363907992,0.758292789,0.590187275,0.993783422,0.967646172,0.985158833,5735,0.978535363,0.985158833,0.590187275,0.348321019,0.425455389,0.087855587
105,FCNN,MHFP6_CC,32,0.334475037,1.437891879,1.787000189,0.994263757,0.898213993,0.902149708,910,0.895772331,0.902149708,1.787000189,3.193369676,0.883177967,0.142903118
106,FCNN,MHFP6_CC,64,0.348109465,1.000936125,0.940863328,0.994189198,0.949202848,0.956688158,1831,0.954530512,0.956688158,0.940863328,0.885223802,0.570908372,0.13166716
107,FCNN,MHFP6_CC,128,0.338541657,0.864291311,0.861413544,0.994727304,0.955778245,0.957453104,5473,0.956741946,0.957453104,0.861413544,0.742033293,0.519460757,0.086757074
108,FCNN,MHFP6_CC,256,0.272955733,0.921648413,1.243929758,0.996617106,0.958477181,0.925177113,5111,0.920116519,0.925177113,1.243929758,1.547361244,0.642893462,0.150234617
109,FCNN,MHFP6_CC,512,0.339541854,0.936096978,1.176758353,0.994552821,0.941558684,0.938707984,383,0.9372885,0.938707984,1.176758353,1.38476022,0.706300206,0.106601236
110,FCNN,Property_CC,1,1.153915712,1.244312504,0.889564442,0.961367303,0.968896935,0.963170497,4640,0.959352749,0.963170497,0.889564442,0.791324897,0.584861059,0.120741005
111,FCNN,Property_CC,2,1.016135899,0.81316652,0.643458845,0.952753597,0.966760244,0.979690572,5938,0.978782825,0.979690572,0.643458845,0.414039285,0.509551658,0.124339578
112,FCNN,Property_CC,4,1.294980237,1.922795143,1.46980444,0.96558631,0.906999144,0.862948351,876,0.858693106,0.862948351,1.46980444,2.160325092,1.067655291,0.148252326
113,FCNN,Property_CC,8,0.670588945,1.039357275,1.410369053,0.977210572,0.960187328,0.928450651,1366,0.91842198,0.928450651,1.410369053,1.989140865,0.949051219,0.190304791
114,FCNN,Property_CC,16,1.062830487,0.632052097,0.516362928,0.94698831,0.975926825,0.983976039,5852,0.983569379,0.983976039,0.516362928,0.266630674,0.374401712,0.096323149
115,FCNN,Property_CC,32,0.677325881,1.546275667,1.821427058,0.978385806,0.88664235,0.896622823,5942,0.891717719,0.896622823,1.821427058,3.317596529,0.825820411,0.116369195
116,FCNN,Property_CC,64,1.004470269,1.235102319,0.919773244,0.967153453,0.944201146,0.962276783,5945,0.956546123,0.962276783,0.919773244,0.845982821,0.608877338,0.126638828
117,FCNN,Property_CC,128,2.186481587,2.073418823,1.141061741,0.952423514,0.912275777,0.93312643,2180,0.924096487,0.93312643,1.141061741,1.302021896,0.68525557,0.139281562
118,FCNN,Property_CC,256,0.825223686,0.902197751,2.063001263,0.967414063,0.96461387,0.781261979,5940,0.780282699,0.781261979,2.063001263,4.25597421,0.923886141,0.18920301
119,FCNN,Property_CC,512,1.005925541,1.158499358,1.003997784,0.953772115,0.922823114,0.956858877,5982,0.95435028,0.956858877,1.003997784,1.008011551,0.704658499,0.106673435
120,FCNN,Constitution_CC,1,0.458437444,2.03420187,1.06384675,0.989743383,0.858983078,0.945731585,401,0.941865426,0.945731585,1.06384675,1.131769908,0.665862522,0.123846796
121,FCNN,Constitution_CC,2,0.525398415,1.076676706,0.561461131,0.987894918,0.934880418,0.985623251,593,0.983845802,0.985623251,0.561461131,0.315238602,0.433153461,0.083763454
122,FCNN,Constitution_CC,4,0.512034238,2.277276198,1.089854354,0.988622896,0.776209859,0.924362614,258,0.92230713,0.924362614,1.089854354,1.187782512,0.772780292,0.116581798
123,FCNN,Constitution_CC,8,0.56336264,1.074866682,1.39296695,0.98392792,0.963813441,0.926730948,2905,0.920422692,0.926730948,1.39296695,1.940356923,0.805147743,0.138027306
124,FCNN,Constitution_CC,16,0.505458441,0.712948426,0.51547052,0.988009864,0.97150542,0.985368114,3099,0.983626123,0.985368114,0.51547052,0.265709857,0.378002547,0.092077163
125,FCNN,Constitution_CC,32,0.390527284,1.856268963,2.016343732,0.993674775,0.847744343,0.870154439,2364,0.867302431,0.870154439,2.016343732,4.065642046,0.91049708,0.121097136
126,FCNN,Constitution_CC,64,0.499595419,1.093815676,1.198599286,0.989319259,0.939662593,0.927417727,781,0.926207026,0.927417727,1.198599286,1.436640247,0.676010424,0.14258213
127,FCNN,Constitution_CC,128,0.550850506,2.255648459,1.067745383,0.989129138,0.817851618,0.940939125,1047,0.933537145,0.940939125,1.067745383,1.140080203,0.581930053,0.110075545
128,FCNN,Constitution_CC,256,0.518678151,0.709590392,1.889379367,0.987137255,0.977494289,0.819103321,5959,0.815709222,0.819103321,1.889379367,3.569754392,0.756628959,0.121971818
129,FCNN,Constitution_CC,512,0.578655182,1.053484742,1.138303642,0.985341777,0.944281015,0.94611567,3079,0.941320168,0.94611567,1.138303642,1.29573518,0.704028421,0.110521829
130,FCNN,Autocorr_CC,1,3.192386467,3.046331891,4.767755394,0.589667852,0.617843951,0.271011328,5712,-0.167627423,0.271011328,4.767755394,22.73149149,3.412065342,0.974686801
131,FCNN,Autocorr_CC,2,3.217724451,5.296982429,6.857995533,0.598647604,0.399513229,0.447698739,5999,-1.410129654,0.447698739,6.857995533,47.03210273,3.32941301,0.730918606
132,FCNN,Autocorr_CC,4,3.805881525,5.300150369,3.450736396,0.467574274,0.36575013,0.605541384,5844,0.221124921,0.605541384,3.450736396,11.90758167,2.660391368,0.62049945
133,FCNN,Autocorr_CC,8,3.003435168,3.213598695,3.477073988,0.635998712,0.664931281,0.623088346,5994,0.504166938,0.623088346,3.477073988,12.09004352,2.671313249,0.705959307
134,FCNN,Autocorr_CC,16,109.8750488,107.9937689,4.689516766,0.025308276,0.00148398,0.218492002,5956,-0.35518958,0.218492002,4.689516766,21.99156749,3.233091171,1.162280077
135,FCNN,Autocorr_CC,32,16.42509392,14.88034994,3.66681919,0.376550136,0.554021095,0.68130392,5924,0.561153317,0.68130392,3.66681919,13.44556298,2.863527401,0.800765377
136,FCNN,Autocorr_CC,64,2.241180229,2.298808075,2.996075139,0.768532848,0.817572715,0.597373205,5614,0.538924139,0.597373205,2.996075139,8.97646624,2.244403832,0.59795593
137,FCNN,Autocorr_CC,128,2.015552313,2.154923809,2.084001404,0.813550301,0.751216734,0.803080935,5999,0.74681405,0.803080935,2.084001404,4.34306185,1.354499485,0.366059152
138,FCNN,Autocorr_CC,256,3.087921514,3.671231868,3.083701178,0.581772094,0.437102321,0.53181474,5796,0.509081001,0.53181474,3.083701178,9.509212953,2.327067253,0.881237921
139,FCNN,Autocorr_CC,512,2.840857113,2.723011355,2.959730621,0.688199141,0.717701292,0.725010489,5995,0.603286496,0.725010489,2.959730621,8.760005346,2.205633071,0.540061646
140,FCNN,Fragment_CC,1,0.533606924,1.174407026,1.004582807,0.986470981,0.94378492,0.950536952,1066,0.948162048,0.950536952,1.004582807,1.009186617,0.650537067,0.147270005
141,FCNN,Fragment_CC,2,0.624037957,1.067349683,0.505143239,0.98154631,0.933906982,0.987859225,1015,0.986923994,0.987859225,0.505143239,0.255169692,0.403849412,0.078308872
142,FCNN,Fragment_CC,4,0.493240276,2.504769709,1.131982867,0.988650517,0.739199629,0.919305397,185,0.916184576,0.919305397,1.131982867,1.281385211,0.750308922,0.093969343
143,FCNN,Fragment_CC,8,0.381415255,1.300123287,1.357819144,0.992744654,0.93378293,0.941488378,262,0.92438787,0.941488378,1.357819144,1.843672827,0.676984949,0.113782472
144,FCNN,Fragment_CC,16,0.517877212,0.724026491,0.66891323,0.987799503,0.967726151,0.97475758,254,0.972427037,0.97475758,0.66891323,0.447444909,0.452018476,0.115654735
145,FCNN,Fragment_CC,32,0.396562909,1.245142324,2.113531105,0.9933437,0.923615895,0.86013891,1649,0.854202151,0.86013891,2.113531105,4.467013732,0.985158933,0.187760993
146,FCNN,Fragment_CC,64,0.545164996,1.772918208,0.90148617,0.986570608,0.84815559,0.958751808,693,0.958256859,0.958751808,0.90148617,0.812677315,0.565569813,0.122488784
147,FCNN,Fragment_CC,128,0.500815142,1.673546458,1.145621334,0.988467657,0.883324854,0.928463917,1918,0.923488666,0.928463917,1.145621334,1.312448242,0.681938531,0.134019498
148,FCNN,Fragment_CC,256,0.551317945,0.608583147,2.244162444,0.986201266,0.982553571,0.744405388,5992,0.739999701,0.744405388,2.244162444,5.036265073,0.776066293,0.141746354
149,FCNN,Fragment_CC,512,0.495397566,1.034251824,1.210782939,0.989123825,0.941118376,0.943792671,2405,0.933609613,0.943792671,1.210782939,1.465995326,0.729204574,0.12669451
150,FCNN,Charge_CC,1,0.985123862,0.916921817,1.114763215,0.953130437,0.965272424,0.9392621,5919,0.936167535,0.9392621,1.114763215,1.242697025,0.652941791,0.107085759
151,FCNN,Charge_CC,2,1.010294981,0.609652657,0.617343975,0.951638697,0.97956354,0.981038001,2052,0.980470081,0.981038001,0.617343975,0.381113583,0.469809518,0.067692284
152,FCNN,Charge_CC,4,0.878090783,1.649749545,1.140547342,0.96347992,0.881388483,0.920907305,1437,0.914911499,0.920907305,1.140547342,1.300848239,0.705198467,0.085801132
153,FCNN,Charge_CC,8,0.930168038,0.874474092,1.38820125,0.956137584,0.970760904,0.92417307,3292,0.92096627,0.92417307,1.38820125,1.927102711,0.785474228,0.135330568
154,FCNN,Charge_CC,16,0.991957257,0.71347728,0.609142891,0.953881217,0.969835344,0.977607805,2167,0.97713442,0.977607805,0.609142891,0.371055062,0.418922876,0.080328724
155,FCNN,Charge_CC,32,0.750242516,1.494246543,1.835605267,0.971420866,0.897980097,0.895039657,5867,0.890025393,0.895039657,1.835605267,3.369446695,0.893889376,0.148317548
156,FCNN,Charge_CC,64,0.900608162,0.970498527,1.059762517,0.9615342,0.952472258,0.942453257,5861,0.942312185,0.942453257,1.059762517,1.123096592,0.5593811,0.099051851
157,FCNN,Charge_CC,128,0.895311035,1.121728539,1.111221875,0.963503938,0.931985174,0.9377948,5748,0.928014479,0.9377948,1.111221875,1.234814056,0.712653396,0.137074014
158,FCNN,Charge_CC,256,0.946314923,1.231809432,1.183219479,0.957189211,0.923390053,0.931923335,5918,0.927723704,0.931923335,1.183219479,1.400008336,0.63650185,0.100921648
159,FCNN,Charge_CC,512,0.94611908,1.133788399,0.97630283,0.957874379,0.922587194,0.961105317,1286,0.95683401,0.961105317,0.97630283,0.953167216,0.673229537,0.091377112
160,FCNN,Estate_CC,1,0.295088593,1.472893105,1.182558304,0.996414468,0.931510172,0.932988232,530,0.928167418,0.932988232,1.182558304,1.398444142,0.654920395,0.123953786
161,FCNN,Estate_CC,2,0.424524671,1.419262764,0.772731672,0.992170065,0.890293853,0.971046798,208,0.969401268,0.971046798,0.772731672,0.597114237,0.642993908,0.131538719
