CC_Tem,CC_Speed,CC_Particle Size,CC_Inner Diameter,CC_Length,CC_PhaseA_W_per,CC_PhaseA_O_per,CC_PhaseA_FA_per,CC_PhaseA_TFA_per,CC_PhaseB_O_pKa,CC_PhaseB_O_per,CC_PhaseB_W_per,CC_PhaseB_FA_per,CC_PhaseB_TFA_per,CC_RT-initial,CC_RT-final,CC_time
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
25,1,5,4.6,250,99.9,0,0.1,0,15.3,100,0,0,0,10,90,15
