smiles,rt_min,CM_Tem,CM_Speed,CM_Particle Size,CM_Inner Diameter,CM_Length,CM_PhaseA_W_per,CM_PhaseA_O_per,CM_PhaseA_FA_per,CM_PhaseA_TFA_per,CM_PhaseB_O_pKa,CM_PhaseB_O_per,CM_PhaseB_W_per,CM_PhaseB_FA_per,CM_PhaseB_TFA_per,CM_RT-initial,CM_RT-final,CM_time
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.26,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(COCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.13,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCOCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.15,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(COCCOCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.19,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCOCCOCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.14,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(COCCOCCOCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.23,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCOCCOCCOCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.1,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCOCCOCCOCCOCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.16,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.59,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.12,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCCN(C)CCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.62,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCNCCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.56,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCCNCCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.63,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCCCNCCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.61,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.17,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.16,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.2,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.19,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.22,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.27,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCCCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.31,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.19,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.18,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCOCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.18,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCOCCOCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.21,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCOCCOCCOCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.21,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.13,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.21,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.29,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.42,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.61,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCCCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.7,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.15,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.21,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
