smiles,rt_min,CM_Tem,CM_Speed,CM_Particle Size,CM_Inner Diameter,CM_Length,CM_PhaseA_W_per,CM_PhaseA_O_per,CM_PhaseA_FA_per,CM_PhaseA_TFA_per,CM_PhaseB_O_pKa,CM_PhaseB_O_per,CM_PhaseB_W_per,CM_PhaseB_FA_per,CM_PhaseB_TFA_per,CM_RT-initial,CM_RT-final,CM_time
ClC1=CC=C(C=C1)C2=N[C@H](C3=NN=C(N3C4=C2C(C)=C(S4)C)C)CC(NCCCCNC(C[C@@H](C5=CC=C(C=C5)C6=C(C)N=CS6)NC([C@H]7N(C[C@@H](C7)O)C([C@@H](C8=CC(C)=NO8)C(C)C)=O)=O)=O)=O,1.01,40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
ClC1=CC=C(C=C1)C2=N[C@H](C3=NN=C(N3C4=C2C(C)=C(S4)C)C)CC(NCCOCCOCCNC(C[C@@H](C5=CC=C(C=C5)C6=C(C)N=CS6)NC([C@H]7N(C[C@@H](C7)O)C([C@@H](C8=CC(C)=NO8)C(C)C)=O)=O)=O)=O,1.34,40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
O=C(N1[C@H](C(OC)=O)C[C@H](NC(COCCOCCOCCOCCOC2=C(S(=O)(C(C)(C)C)=O)C=C3C(NC4=CC=C(SC=N5)C5=C4)=CC=NC3=C2)=O)C1)OC(C)(C)C,0.79,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
O=C([C@H]1NC[C@@H](NC(COCCOCCOCCOCCOC2=C(S(=O)(C(C)(C)C)=O)C=C3C(NC4=CC=C(SC=N5)C5=C4)=CC=NC3=C2)=O)C1)OC,0.49,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
O=C([C@H]1N(C([C@@H](NC([C@@H](N(C(OC(C)(C)C)=O)C)C)=O)C(C)(C)C)=O)C[C@@H](NC(COCCOCCOCCOCCOC2=C(S(=O)(C(C)(C)C)=O)C=C3C(NC4=CC=C(SC=N5)C5=C4)=CC=NC3=C2)=O)C1)OC,0.87,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
O=C([C@H]1N(C([C@@H](NC([C@@H](N(C(OC(C)(C)C)=O)C)C)=O)C(C)(C)C)=O)C[C@@H](NC(COCCOCCOCCOCCOC2=C(S(=O)(C(C)(C)C)=O)C=C3C(NC4=CC=C(SC=N5)C5=C4)=CC=NC3=C2)=O)C1)O,0.93,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
O=C(O[C@@](C)(C(C)(C)C)C(N[C@@H](C(C)(C)C)C(N1[C@H](C(N[C@@H](C2=CC=CC=C2)CC)=O)C[C@H](NC(COCCOCCOCCOCCOC3=C(S(=O)(C(C)(C)C)=O)C=C4C(NC5=CC=C(SC=N6)C6=C5)=CC=NC4=C3)=O)C1)=O)=O)NC,1.34,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
O=C([C@H]1N(C([C@@H](NC([C@@H](NC)C)=O)C(C)(C)C)=O)C[C@@H](NC(COCCOCCOCCOCCOC2=C(S(=O)(C(C)(C)C)=O)C=C3C(NC4=CC=C(SC=N5)C5=C4)=CC=NC3=C2)=O)C1)N[C@@H](C6=CC=CC=C6)CC,1.18,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
CN[C@@H](C)C(=O)N[C@@H](C1CCN(CC1)C(=O)COCCOCCOCCOCCOc1cc2nccc(Nc3ccc4scnc4c3)c2cc1S(=O)(=O)C(C)(C)C)C(=O)N1CCC[C@H]1c1nc(cs1)C(=O)c1ccc(F)cc1,1.08,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2cc(OCCOCCOCCOCCOc3cc4ncnc(Nc5n[nH]c(C)c5C)c4cc3S(=O)(=O)C(C)(C)C)ccc2C[C@H]1C(=O)N[C@@H]1CCCc2ccccc12)C(C)(C)C,1.18,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
CN[C@@H](C)C(=O)N[C@@H](C1CCN(CC1)C(=O)COCCOCCOCCOCCOc1cc2ncnc(Nc3n[nH]c(C)c3C)c2cc1S(=O)(=O)C(C)(C)C)C(=O)N1CCC[C@H]1c1nc(cs1)C(=O)c1ccc(F)cc1,1,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
CN[C@@H](C)C(=O)N[C@@H](C1CCN(CC1)C(=O)c1cnc(nc1)N1CCC(COc2cc3ncnc(Nc4n[nH]c(C)c4C)c3cc2S(=O)(=O)C(C)(C)C)CC1)C(=O)N1CCC[C@H]1c1nc(cs1)C(=O)c1ccc(F)cc1,1.08,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
CN[C@@H](C)C(=O)N[C@@H](C1CCN(CC1)C(=O)c1cnc(nc1)N1CCC(CCOc2cc3ncnc(Nc4n[nH]c(C)c4C)c3cc2S(=O)(=O)C(C)(C)C)CC1)C(=O)N1CCC[C@H]1c1nc(cs1)C(=O)c1ccc(F)cc1,1.11,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
CN[C@@H](C)C(=O)N[C@@H](C1CCN(CC1)C(=O)c1cnc(nc1)N1CCC(CCCOc2cc3ncnc(Nc4n[nH]c(C)c4C)c3cc2S(=O)(=O)C(C)(C)C)CC1)C(=O)N1CCC[C@H]1c1nc(cs1)C(=O)c1ccc(F)cc1,1.14,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
CN[C@@H](C)C(=O)N[C@@H](C1CCN(CC1)C(=O)c1cnc(nc1)N1CCN(CCOc2cc3ncnc(Nc4n[nH]c(C)c4C)c3cc2S(=O)(=O)C(C)(C)C)CC1)C(=O)N1CCC[C@H]1c1nc(cs1)C(=O)c1ccc(F)cc1,1.02,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
CN[C@@H](C)C(=O)N[C@@H](C1CCN(CC1)C(=O)c1cnc(nc1)N1CCN(CCCOc2cc3ncnc(Nc4n[nH]c(C)c4C)c3cc2S(=O)(=O)C(C)(C)C)CC1)C(=O)N1CCC[C@H]1c1nc(cs1)C(=O)c1ccc(F)cc1,1.02,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
CN[C@@H](C)C(=O)N[C@@H](C1CCN(CC1)C(=O)c1ccc(cc1)N1CCN(CCCOc2cc3ncnc(Nc4n[nH]c(C)c4C)c3cc2S(=O)(=O)C(C)(C)C)CC1)C(=O)N1CCC[C@H]1c1nc(cs1)C(=O)c1ccc(F)cc1,0.57,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
CN[C@@H](C)C(=O)N[C@@H](C1CCN(CC1)C(=O)c1ccc(nc1)N1CCN(CCOc2cc3ncnc(Nc4n[nH]c(C)c4C)c3cc2S(=O)(=O)C(C)(C)C)CC1)C(=O)N1CCC[C@H]1c1nc(cs1)C(=O)c1ccc(F)cc1,1.02,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
CN[C@@H](C)C(=O)N[C@@H](C1CCN(CC1)C(=O)c1ccc(nc1)N1CCN(CCCOc2cc3ncnc(Nc4n[nH]c(C)c4C)c3cc2S(=O)(=O)C(C)(C)C)CC1)C(=O)N1CCC[C@H]1c1nc(cs1)C(=O)c1ccc(F)cc1,1.03,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
CN[C@@H](C)C(=O)N[C@@H](C1CCN(CC1)C(=O)c1cnc(cn1)N1CCN(CCOc2cc3ncnc(Nc4n[nH]c(C)c4C)c3cc2S(=O)(=O)C(C)(C)C)CC1)C(=O)N1CCC[C@H]1c1nc(cs1)C(=O)c1ccc(F)cc1,1.01,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H]1CCCc2ccccc12)NC(=O)c1cnc(cn1)N1CCN(CCCOc2cc3ncnc(Nc4n[nH]c(C)c4C)c3cc2S(=O)(=O)C(C)(C)C)CC1)C(C)(C)C,1.11,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
CN[C@@H](C)C(=O)N[C@H]1CN(CC[C@H]2CC[C@H](N2C1=O)C(=O)N[C@@H]1CCCc2ccccc12)C(=O)c1cnc(cn1)N1CCN(CCCOc2cc3ncnc(Nc4n[nH]c(C)c4C)c3cc2S(=O)(=O)C(C)(C)C)CC1,1,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3c2cc(Cc2ccc(F)cc2)c(=O)n3C)[C@@H](CN2CCN(C[C@H]2C)c2ncc(cn2)C(=O)N2CCN(CCCOc3cc4ncnc(Nc5[nH]nc(C)c5C)c4cc3S(=O)(=O)C(C)(C)C)CC2)CN1,1.04,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc23)[C@@H](CN2CCN(C[C@H]2C)c2ncc(cn2)C(=O)N2CCN(CCCOc3cc4ncnc(Nc5[nH]nc(C)c5C)c4cc3S(=O)(=O)C(C)(C)C)CC2)CN1,1.15,40,1,1.7,2.1,50,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,3,100,1.5
O=C(N1CCN(C(CCOCCOCCOCCOCCNC2=C(C(N(C3CCC(NC3=O)=O)C4=O)=O)C4=CC=C2)=O)CC1)C5CCN(C6=CC=C(NC(C7=CN=C(OC8=CC=CC=C8)N=C7)=O)C=C6)CC5,17.1,40,1,5,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,30
O=C(N1CCN(C(CCOCCOCCOCCNC2=C(C(N(C3CCC(NC3=O)=O)C4=O)=O)C4=CC=C2)=O)CC1)C5CCN(C6=CC=C(NC(C7=CN=C(OC8=CC=CC=C8)N=C7)=O)C=C6)CC5,13.3,40,1,5,4.6,250,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,30
