RT(min),RT_Pred,,,,,,,,,,,
Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average,std
1.44,3.681318,3.7838926,3.0352068,3.4664142,3.552285,3.7529185,2.8479283,2.8960261,3.7717729,3.134991,3.39227534,3.135¡À3.392
1.59,3.5209959,3.647396,2.985092,3.181691,3.2120574,3.771241,2.751186,2.895618,3.3347633,3.089085,3.23891256,3.089¡À3.239
1.57,3.7726176,3.8029008,3.1848814,4.1354566,3.7341654,3.7707446,3.0669775,2.95089,3.904105,3.2567132,3.55794521,3.257¡À3.558
1.64,3.2372825,3.2072039,3.121268,3.4092925,3.388061,3.3942661,3.2156897,3.207821,3.3955548,3.4642825,3.3040722,3.464¡À3.304
1.64,3.205631,3.2152112,3.11289,3.4657104,3.3139145,3.356737,3.216504,3.1602805,3.4182794,3.4189532,3.28841112,3.419¡À3.288
1.62,3.1536338,3.2324495,3.125928,3.3780327,3.4541297,3.4284682,3.214719,3.1542187,3.4634979,3.4312139,3.30362914,3.431¡À3.304
1.26,3.1675642,3.433421,2.722715,2.7881172,2.9020767,3.482573,2.6434445,2.6504853,2.968935,2.9277313,2.96870632,2.928¡À2.969
1.27,3.2851777,3.504171,2.7559469,2.97222,2.995113,3.6642206,2.7106476,2.767558,3.0430756,3.1590323,3.08571627,3.159¡À3.086
1.27,3.3866765,3.5928504,2.8759048,3.1193888,3.2573035,3.5090427,2.8026228,2.7190795,3.602971,3.0214043,3.18872443,3.021¡À3.189
1.34,3.0191336,3.150433,2.7856221,2.9666014,2.902285,3.3684661,2.9555123,3.0228438,3.1457412,3.172122,3.04887605,3.172¡À3.049
1.33,2.9984338,3.0442283,2.6922503,2.8973966,2.8992176,3.1770074,2.9017653,2.931653,3.0562372,3.1651618,2.97633513,3.165¡À2.976
1.33,3.0606768,3.0475974,2.871689,2.956511,2.9541206,3.1330442,3.080911,2.9681342,3.047156,3.2808607,3.04007009,3.281¡À3.040
7.99,8.544318,8.31834,8.132751,8.863599,8.252636,8.332237,8.446046,8.380489,7.7898464,8.05509,8.31153524,8.055¡À8.312
4.98,8.015054,8.246355,7.93133,8.132584,8.221165,7.696774,8.271725,8.006213,8.379038,7.9978223,8.08980603,7.998¡À8.090
6.12,7.8551497,8.19199,7.9023666,7.9684863,7.898913,7.854176,8.01309,8.14415,7.8015327,7.9590263,7.95888806,7.959¡À7.959
0.87,1.7211399,2.2124352,1.756609,1.9753944,1.8974625,2.0693235,1.8345785,1.5124635,2.0233538,1.8094383,1.88121986,1.809¡À1.881
1.18,2.8571064,2.9057863,2.4405856,2.6790066,2.6443443,2.7228076,2.393829,2.431498,2.9842968,2.4068768,2.64661374,2.407¡À2.647
0.83,1.3806951,1.5045584,1.5464306,1.4267356,1.5067999,1.6660162,1.354898,1.030046,1.5738267,1.2464259,1.42364324,1.246¡À1.424
1.25,2.1398036,2.0190828,2.0401547,2.0757594,2.2995505,2.2992377,1.7684364,1.5721995,2.2868218,1.6787578,2.01798042,1.679¡À2.018
1.28,2.9091666,3.380991,2.505142,2.792094,2.6901126,2.9200761,2.6423693,2.6183655,2.9227157,2.6413994,2.80224322,2.641¡À2.802
0.94,2.2781615,2.5911818,2.135612,2.2369485,2.1988873,2.5535734,2.1125684,1.9806107,2.4036288,2.1164799,2.26076523,2.116¡À2.261
1.2,2.8571064,2.9057863,2.4405856,2.6790066,2.6443443,2.7228076,2.393829,2.431498,2.9842968,2.4068768,2.64661374,2.407¡À2.647
1.03,2.4044983,2.4558747,2.3205361,2.31816,2.3993258,2.6637955,2.4883218,2.5106666,2.5883045,2.716941,2.48664243,2.717¡À2.487
1.37,3.5651014,3.3561258,3.2238607,3.2674592,3.2704527,3.175409,3.284936,3.4477556,3.6653697,3.419822,3.36762921,3.420¡À3.368
1.11,2.576086,2.507937,2.3060021,2.2184706,2.5581377,2.4505105,2.4740434,2.5620224,2.3122182,2.7267306,2.46921585,2.727¡À2.469
13.6,14.126657,14.649935,14.33246,14.408885,14.212136,13.907979,13.813232,12.592048,14.717664,13.210754,13.997175,13.211¡À13.997
14.5,14.061129,14.496559,14.141301,14.371994,14.135489,14.11772,13.763785,12.571708,14.644507,13.036073,13.9340265,13.036¡À13.934
0.54,1.3858612,1.373085,1.0731046,1.1002957,0.8875057,1.5148469,0.8883699,0.8952859,1.1220726,1.1192594,1.13596869,1.119¡À1.136
0.62,1.4078466,1.4516838,1.0555098,1.1861386,0.92584705,1.4624944,0.954865,0.9630965,1.0603669,1.2408092,1.170865785,1.241¡À1.171
0.57,1.0814123,0.828181,0.8248046,0.71589756,0.7011936,0.84383714,0.73672926,0.818254,0.70024365,0.83076847,0.808132158,0.831¡À0.808
0.72,1.1744435,0.961074,0.82854056,0.8418535,0.647362,1.0892582,0.8249389,0.8737217,0.7450756,0.93607426,0.892234222,0.936¡À0.892
