smiles,rt_min
FC1=C(OCC2=CN(CCCCC(N[C@H](C(N3C[C@H](O)C[C@H]3C(N[C@@H](C)C4=CC=C(C5=C(C)N=CS5)C=C4)=O)=O)C(C)(C)C)=O)N=N2)C(C6=CSC(N7CCOCC7)=N6)=CC=C1F,8.25
FC1=C(OCC(NCCCCCCNC(C[C@@H](NC([C@H]2N(C([C@@H](NC(C3(F)CC3)=O)C(C)(C)C)=O)C[C@H](O)C2)=O)C4=CC=C(C5=C(C)N=CS5)C=C4)=O)=O)C(C6=CSC(N7CCOCC7)=N6)=CC=C1F,8.04
O=C(C(N(CC1=C2C=CC=C1OCCC3CCN(CC#CCOC4=CC=C(C(F)(F)F)C=C4)CC3)C2=O)CC5)NC5=O,21.175
O=C(C(N(CC1=C2C=CC=C1C#CCN3CCN(CC#CCOC4=CC=C(C(F)(F)F)C=C4)CC3)C2=O)CC5)NC5=O,13.73
O=C(C(N(CC1=C2C=CC=C1OC3CN(CC#CCN4CCN(C5=CC=C(C(F)(F)F)C=C5)CC4)C3)C2=O)CC6)NC6=O,18.134
O=C(C(N(CC1=C2C=CC(C#CCN3CCN(CC#CCOC4=CC=C(C(F)(F)F)C=C4)CC3)=C1)C2=O)CC5)NC5=O,13.178
O=C(C(N(CC1=C2C=CC(C#CCN3CCN(C4=CC=C(C(F)(F)F)C=C4)CC3)=C1)C2=O)CC5)NC5=O,13.304
O=C(C(N(CC1=C2C=C(C#CCN3CCN(CC#CCOC4=CC=C(C(F)(F)F)C=C4)CC3)C=C1)C2=O)CC5)NC5=O,21.158
O=C1N(C(CC2)C(NC2=O)=O)C(C3=C1C=CC(N4CCN(CC#CCN5CCN(C6=CC=C(C(F)(F)F)C=C6)CC5)CC4)=C3)=O,21.563
O=C1N(C(CC2)C(NC2=O)=O)C(C3=C1C=CC=C3N4CCN(C5CCN(CCCCOC6=CC=C(C(F)(F)F)C=C6)CC5)CC4)=O,10.487
O=C1N(C(CC2)C(NC2=O)=O)C(C3=C1C=CC=C3N4CCN(CC5CCN(CC#CCOC6=CC=C(C(F)(F)F)C=C6)CC5)CC4)=O,10.326
O=C1N(C(CC2)C(NC2=O)=O)C(C3=C1C=CC=C3N4CCN(CC5CCN(CCCCOC6=CC=C(C(F)(F)F)C=C6)CC5)CC4)=O,10.379
