smiles,rt_min
C=CCN1C(=O)C2=CN=C(NC3=CC=C(N4CCN(CCCC(=O)NCCOCCOCCOCCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=C3)N=C2N1C1=CC=CC(C(C)(C)O)=N1,8.53
C=CCN1C(=O)C2=CN=C(NC3=CC=C(N4CCN(CCCC(=O)NCCOCCOCCOCCOCCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=C3)N=C2N1C1=CC=CC(C(C)(C)O)=N1,8.64
C=CCN1C(=O)C2=CN=C(NC3=CC=C(N4CCN(CCCC(=O)NCCOCCOCCOCC(=O)NCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=C3)N=C2N1C1=CC=CC(C(C)(C)O)=N1,8.18
C=CCN1C(=O)C2=CN=C(NC3=CC=C(N4CCN(CCCC(=O)NCCCC(=O)NCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=C3)N=C2N1C1=CC=CC(C(C)(C)O)=N1,8.09
C=CCN1C(=O)C2=CN=C(NC3=CC=C(N4CCN(CCCC(=O)NCCCCCC(=O)NCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=C3)N=C2N1C1=CC=CC(C(C)(C)O)=N1,8.28
C=CCN1C(=O)C2=CN=C(NC3=CC=C(N4CCN(CCCC(=O)NCCCCCCCC(=O)NCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=C3)N=C2N1C1=CC=CC(C(C)(C)O)=N1,8.62
C=CCN1C(=O)C2=CN=C(NC3=CC=C(N4CCN(CCCC(=O)NCCCCCCCCCCC(=O)NCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=C3)N=C2N1C1=CC=CC(C(C)(C)O)=N1,9.29
O=C(NC1=NNC(C2CCC2)=C1)CC3=CC=C(OCC(NCCCCNC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)=O)C=C3,13.77
O=C(NCCCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)CCCOC4=CC=C(CC(NC5=NNC(C6CCC6)=C5)=O)C=C4,13.2
O=C(NC1=NNC(C2CCC2)=C1)CC3=CC=C(OCC(NCCCCCCCCNC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)=O)C=C3,15.11
